"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE192R01011","540376","DMART","AVENUE SUPERMARTS LIMITED","3834.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE286E01019","507609","OLYOI","OLYMPIC OIL INDUSTRIES LTD","16.67","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE774D07VB7","974799","8MMFS25","MMFSL25425PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE027E07AJ5","936570","LTFHZC24A","LTFHZC15424NCD","1799.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE989S01042","540386","ONTIC","ONTIC FINSERVE LIMITED","0.68","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE588G01013","507621","MLKFOOD","MILKFOOD LTD","552.1","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE071G07595","974801","790IHFCL24","IHFCL790271224PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE017W01010","540393","SMLT","SARTHAK METALS LIMITED","248.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE298W01016","540395","CHEMCRUX","CHEMCRUX ENTERPRISES LIMITED","284.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE784W01015","540396","MANOMAY","MANOMAY TEX INDIA LIMITED","198.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE020B08EJ6","974802","798RECPER","REC798PERPECTUALPVT","1.0E7","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE544W01021","540401","MAXIMUS","MAXIMUS INTERNATIONAL LIMITED","26.38","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE800W01019","540402","MANAS","MANAS PROPERTIES LIMITED","390.0","",,"0.05","300","EQUITY",,"BSE_EQ"
"BSE_EQ|INE201M01029","540403","CLEDUCATE","CL EDUCATE LIMITED","92.89","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE442V01012","540404","PRIMEFRESH","PRIME FRESH LIMITED","284.0","",,"0.05","750","EQUITY",,"BSE_EQ"
